frame,source_image,sent_bytes,received_bytes,status,bit_exact,nodes_orig,nodes_rec,edges_orig,edges_rec,edges_common,nodes_match,edge_precision,edge_recall,edge_f1,actor_edges_orig,actor_edges_rec,actor_edges_common,actor_edge_precision,actor_edge_recall,actor_edge_f1,risky_orig,risky_rec,risky_preserved,format,blocks_missing,relations_recovered,relations_sent,tx_time,rx_time,distance_m,chunks_sent,chunks_heard,note
0,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097097.jpg,1000,0,LOST,False,7,0,18,0,0,False,0.0,0.0,0.0,14,0,0,0.0,0.0,0.0,0,0,0,v2,,,6,11.0,,,2,0,"sent at t=11.0, nothing heard"
1,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097098.jpg,1000,0,LOST,False,7,0,18,0,0,False,0.0,0.0,0.0,14,0,0,0.0,0.0,0.0,2,0,0,v2,,,7,16.0,,,2,0,"sent at t=16.0, nothing heard"
2,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097099.jpg,1000,0,LOST,False,7,0,18,0,0,False,0.0,0.0,0.0,14,0,0,0.0,0.0,0.0,2,0,0,v2,,,7,21.0,,,2,0,"sent at t=21.0, nothing heard"
3,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097100.jpg,1000,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v2,,,7,26.0,,,2,0,"sent at t=26.0, nothing heard"
4,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097100.png,1000,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v2,,,7,31.0,,,2,0,"sent at t=31.0, nothing heard"
5,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097101.jpg,1000,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v2,,,7,36.0,,,2,0,"sent at t=36.0, nothing heard"
6,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097102.jpg,1000,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v2,,,7,41.0,,,2,0,"sent at t=41.0, nothing heard"
7,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097103.jpg,1000,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v2,,,7,46.0,,,2,0,"sent at t=46.0, nothing heard"
8,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097104.jpg,1000,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,2,0,0,v2,,,7,51.0,,,2,0,"sent at t=51.0, nothing heard"
9,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097105.jpg,1000,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,4,0,0,v2,,,6,56.0,,,2,0,"sent at t=56.0, nothing heard"
